trace_id,span_id,start_time,duration,client,server,grpc_path,http_status_code,grpc_message,http_method,response_size,request_size,node_id
abec1b345d5b421f929764beff022dcd,a41ecf933014d773,1753195733754637,235385,ms1,ms1,,200,,GET,26,0,sidecar~172.28.122.174~ms1-65b8546b4f-thd5k.istio-dt~istio-dt.svc.cluster.local
abec1b345d5b421f929764beff022dcd,bf3ad0d48570ea4c,1753195733755051,28152,frontend,bill,,200,,POST,15,81,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
abec1b345d5b421f929764beff022dcd,0b4a629b556c1ae7,1753195733755723,26491,bill,bill,,200,,POST,15,81,sidecar~172.28.122.179~bill-c665f47b9-gmbjg.istio-dt~istio-dt.svc.cluster.local
abec1b345d5b421f929764beff022dcd,409f9bb78f9293ba,1753195733829397,149127,ms1,ms2,,200,,POST,26,242839,sidecar~172.28.122.174~ms1-65b8546b4f-thd5k.istio-dt~istio-dt.svc.cluster.local
abec1b345d5b421f929764beff022dcd,b92c6fffaff45290,1753195733831905,145472,ms2,ms2,,200,,POST,26,242839,sidecar~172.28.152.111~ms2-5746ddbfd5-lq22q.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,0e3e5b2b37bf9f59,1753195740314979,283270,frontend,frontend,,200,,POST,141,37,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,246ca91012346f29,1753195740329711,21493,frontend,auth,,200,,POST,100,37,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,2c4c0ac77ea2ff9c,1753195740330486,19513,auth,auth,,200,,POST,100,37,sidecar~172.28.122.145~auth-bf4bd8445-xwjmk.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,cba87583f0953050,1753195740360812,25437,frontend,bill,,200,,POST,15,81,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,bcebb1282ce3c330,1753195740361484,23994,bill,bill,,200,,POST,15,81,sidecar~172.28.122.179~bill-c665f47b9-gmbjg.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,9d36fb727f83441b,1753195740362355,230075,frontend,ms1,,200,,GET,26,0,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,ec9843e0a35278f0,1753195740362870,228536,ms1,ms1,,200,,GET,26,0,sidecar~172.28.122.174~ms1-65b8546b4f-thd5k.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,2824259c74a9ea4d,1753195740431299,153057,ms1,ms2,,200,,POST,26,242839,sidecar~172.28.122.174~ms1-65b8546b4f-thd5k.istio-dt~istio-dt.svc.cluster.local
8d8e1029dcd302260e3e5b2b37bf9f59,a358e2e02b806918,1753195740433812,149776,ms2,ms2,,200,,POST,26,242839,sidecar~172.28.152.111~ms2-5746ddbfd5-lq22q.istio-dt~istio-dt.svc.cluster.local
5e5de01ace3b59e82b18884b03b5b72b,2b18884b03b5b72b,1753195746823580,274561,frontend,frontend,,200,,POST,141,37,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
5e5de01ace3b59e82b18884b03b5b72b,0a160d974ebf392c,1753195746836723,20765,frontend,auth,,200,,POST,100,37,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
5e5de01ace3b59e82b18884b03b5b72b,196de70885a1c03f,1753195746837460,18916,auth,auth,,200,,POST,100,37,sidecar~172.28.122.145~auth-bf4bd8445-xwjmk.istio-dt~istio-dt.svc.cluster.local
5e5de01ace3b59e82b18884b03b5b72b,57eb6c166a9cde29,1753195746868142,224293,frontend,ms1,,200,,GET,26,0,sidecar~172.28.122.172~frontend-d9cbd96b4-5wtks.istio-dt~istio-dt.svc.cluster.local
